FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
F14	1CM-001	0.1717506	-0.2390249	0.07107378	0.04468516	0.009897553	0.07223743	-0.007738767	0.0003393992	0.01092766	-0.005232554
F15	1CM-002	0.1117486	-0.08886415	0.04963374	0.005467327	4.45829e-05	0.03146012	0.001797372	0.01977552	-0.005137342	0.005774721
F16	1CM-003	0.06711007	-0.0299701	0.02614364	0.002255366	-0.002949946	0.05990305	0.003811285	0.0231992	-0.00446126	0.003842299
F17	1CM-004	0.1198015	-0.09463458	0.05572598	0.00674744	-0.005780556	0.04222596	0.001177567	0.01341333	-0.005127447	-0.02140502
F18	1CM-005	0.0849737	0.002347978	0.03481647	0.005343463	-0.01922326	0.05266414	0.008577553	0.01704952	0.001777598	0.007712635
F19	1CM-008	0.12399	-0.1017105	0.04476701	0.01156236	-0.02294927	0.06092603	-0.007763709	0.02862097	-0.004344943	-0.01009783
F20	1CM-009	0.07497699	-0.008314726	0.02538448	0.008414273	0.0007983677	0.047182	-0.007132907	0.0239904	0.0002389065	-0.006086823
F21	1CM-010	0.08332474	-0.03443858	0.0494706	0.0003020705	-0.01929195	0.01655912	-0.002466427	-0.0007665008	-0.02829593	-0.01021584
F22	1CM-012	0.1499857	-0.1847836	0.06332482	0.0405121	0.0008581451	0.04168195	-0.001796778	0.01100593	-0.0001345272	-0.008228761
F23	1CM-013	0.1302509	-0.1468043	0.06456233	0.009677057	0.005641456	0.03478695	0.004933226	0.005553761	-0.01037597	-0.0112218
F24	1CM-014	0.1504824	-0.1848114	0.04839481	0.02963343	0.003972496	0.07144985	0.001073744	0.00687884	0.004925921	0.0008320119
F25	1CM-015	0.1776526	-0.2406183	0.0698796	0.03343211	0.002797656	0.05080357	0.008887276	0.0001700831	0.00869927	-0.02048967
F26	1CM-016	0.08073472	-0.03200577	0.03724038	0.007606665	-0.0118669	0.04484198	-0.0001046657	0.007429858	0.003767768	-0.008070541
F27	1CM-017	0.1486547	-0.2200141	0.07437611	0.03919454	0.007970741	0.06411441	0.004265643	0.01430537	0.01743059	-0.007739264
F28	1CM-018	0.1184348	-0.0971872	0.05715948	0.007517534	-0.01015679	0.03720021	0.004187594	0.01424972	-0.01248084	0.0001019239
F29	1CM-021	-0.1070331	-0.09322097	0.01805655	0.03751814	0.09926462	0.02348143	0.007053537	0.02728273	0.01443629	-0.009186327
F30	1CM-022	0.1177767	-0.1144911	0.04932764	0.02053982	-0.01247369	0.05679748	0.002136128	0.01462539	0.0006436992	-0.01456886
F31	1CM-025	0.02165909	0.1646701	-0.0008770412	-0.03250925	-0.02220124	0.04748341	0.005333885	0.03254748	-0.0128878	-0.008754169
F32	1CM-026	0.07867251	-0.03917766	0.04200612	0.01552325	-0.006741885	0.04712405	-0.002153292	0.02562177	-0.0005188884	-0.006168818
F33	1CM-027	0.06895065	-0.009565527	0.03850535	0.00303381	-0.00792008	0.03938107	-0.009836696	0.02131554	-0.01395295	-0.001432654
F34	1CM-028	0.07230011	-0.04579487	0.04265832	0.003333125	0.008078779	0.005029909	0.01034215	0.0107697	-0.0205647	-0.01439737
F35	1CM-029	0.199145	-0.2845398	0.09058646	0.04821453	-0.008263185	0.0494719	-0.003585358	0.0003961941	0.02592992	-0.01613644
F36	1CM-032	0.1569298	-0.2026345	0.06961106	0.03019148	0.003102105	0.05736605	0.01072704	0.01316926	0.01193836	-0.004030226
F37	1CM-034	0.1230358	-0.1602171	0.07574109	0.018414	-0.004787409	0.05197364	-0.01137567	0.02333024	0.01730805	-0.000265073
F38	1CM-035	0.1174814	-0.06864798	0.05566117	0.02334016	-0.008754995	0.04943136	0.0128555	0.02060141	0.02422478	-0.006048538
F39	1CM-039	0.1290231	-0.174932	0.05839353	0.03364215	0.009727501	0.03405384	-0.009984271	0.0007027423	0.01635908	-0.006090385
F40	1CM-040	0.1399756	-0.1834249	0.06743668	0.01957551	0.01204089	0.0530672	0.002233497	0.01958873	0.003186416	-0.01384022
F41	1CM-042	0.07441796	-0.01387261	0.04171464	-0.005856739	-0.01785216	0.04837183	-0.002792282	0.01614831	-0.003137009	-0.02918637
F42	2CM-001	0.1639796	-0.195895	0.06010293	0.03283179	0.006241892	0.06936185	-0.003783686	0.005085101	0.00694277	-0.008905676
F43	2CM-002	0.1892701	-0.2413915	0.08279152	0.03057296	-0.009157423	0.05584206	-0.007740826	-0.0008225549	0.001660888	-0.02622888
F44	2CM-004	0.1371836	-0.1485047	0.06510974	0.02310389	-0.002537197	0.05400699	0.01339202	0.01757377	-0.003523637	0.005272875
F45	2CM-006	0.1081871	-0.07490246	0.047367	0.01250532	-0.01007858	0.04860709	-0.003771379	0.02049681	-0.006615928	0.00918471
F46	2CM-007	0.1121823	-0.07696385	0.055282	0.01006927	-0.005169974	0.03973096	0.01010115	0.01447457	-0.0200291	-0.01828625
F47	2CM-008	0.08489508	-0.0703799	0.04494477	0.008480672	-0.0003230106	0.03894892	0.011457	0.0205796	0.007855124	-0.007646559
F48	2CM-009	0.01885101	0.1279129	0.01898527	-0.02335966	-0.02201748	0.04301265	0.001117486	0.0380653	-0.0007174139	0.007818755
F49	2CM-010	0.01207983	0.2666296	0.01012339	-0.02905856	-0.02380106	0.04838534	-0.001043031	0.0086239	-0.03194193	-0.005753922
F50	2CM-011	0.08601996	-0.02060604	0.03857751	0.002517049	-0.0146512	0.04282741	-0.009331802	0.03821795	-0.01259769	-0.003545805
F51	2CM-012	0.0989532	-0.03176519	0.04858663	0.006613	-0.01532642	0.0250124	0.01127641	0.01024386	0.002680545	-4.825862e-06
F52	2CM-013	0.1734704	-0.239265	0.08470547	0.02608614	0.001308647	0.04615711	-0.0007254057	0.002131636	-0.002722349	-0.0101425
F53	2CM-014	0.1155665	-0.07820994	0.0518837	0.01220285	-0.01252435	0.04220211	0.009076544	0.0114263	0.0173858	-0.01182955
F54	2CM-015	0.09590427	-0.06003354	0.05021461	0.01126615	-0.002428306	0.02934667	-0.0007643627	0.01361825	0.01969864	-0.007560113
F55	2CM-016	0.07460092	0.008669819	0.02136251	-0.00664008	-0.01234516	0.03776198	-0.002578824	0.01594348	0.004201769	0.01002865
F56	2CM-017	0.1551839	-0.205258	0.08361409	0.03545678	0.007003827	0.04224934	0.005187455	-0.001689341	0.00118968	0.006902464
F57	2CM-018	0.04930195	-0.01375224	0.03568912	0.01618001	0.002355067	0.05168496	0.001821614	0.01280163	0.0008718869	0.002484472
F58	2CM-019	0.01687671	0.11429	0.01336992	-0.01070177	-0.03355157	0.0464841	-0.0009206275	0.04369263	-0.01465326	0.004988387
F59	2CM-020	-0.02058204	-0.0825341	0.03691281	0.03164259	0.06217562	0.01692357	0.01198998	0.01602124	0.006575486	-0.003868523
F60	2CM-022	0.06419517	-0.02002883	0.03392297	-3.973858e-05	-0.002948872	0.0454731	-0.004465326	0.02487429	-0.0201338	0.007809723
F61	2CM-023	0.00592882	0.2544142	0.00700325	-0.05712593	-0.03623742	0.04162269	-0.009674595	0.04569402	-0.006005196	0.01231563
F62	2CM-024	0.05419158	0.0103571	0.04248303	0.01049535	-0.00555834	0.04723088	-0.003811742	0.02658956	0.00433883	0.0001771226
F63	2CM-025	0.1060762	-0.08006714	0.05305531	0.02024692	-0.007481512	0.05096182	0.01224055	0.02556933	0.007168089	0.000483874
F64	2CM-026	0.1480139	-0.132078	0.06232743	0.01469373	0.0004559659	0.04613421	-0.001660714	0.02702538	0.0221719	-0.002183364
F65	2CM-027	0.05620212	0.01459019	0.03893346	-0.001640763	-0.006820985	0.05110815	-0.008847386	0.02383872	-0.02073952	-0.008723754
F66	2CM-028	0.05663319	-0.0005390928	0.04543465	-0.00785524	-0.004402039	0.03810603	-0.004267409	0.007499294	-0.006713552	-0.006704533
F67	2CM-029	0.08372277	-0.06244506	0.04196955	0.008711148	-0.01201206	0.04830513	0.005103756	0.01287401	0.007766209	-0.008239506
F68	2CM-030	0.1967705	-0.288437	0.08575351	0.05193111	0.005649049	0.05246557	-0.00416838	-0.0002174861	-0.006487468	-0.003950955
F69	2CM-032	0.2075931	-0.2859456	0.08275127	0.04875898	0.007528818	0.06674664	-0.01010019	0.00686925	0.01434623	-0.01296012
F70	2CM-036	0.1337877	-0.1485475	0.0639402	0.02847361	-0.0005341448	0.0666921	-0.001195437	0.02503806	0.005948348	-0.009466703
F71	2CM-039	0.141125	-0.16792	0.05935112	0.02464175	0.003312903	0.05814371	0.005260452	0.01082191	0.002710306	-0.0195357
F72	2CM-040	0.1684235	-0.254436	0.07258488	0.0403101	0.0140164	0.05041197	0.009930676	0.002768522	0.01261735	-0.003037774
F73	2CM-041	0.1061182	-0.09510538	0.04605428	0.01927054	-0.003423707	0.05192711	-0.002045913	0.01689109	0.0005539388	-0.006639209
F74	2CM-044	0.04986776	-0.00969181	0.03317556	-0.01166568	-0.007210853	0.03819603	0.009314492	0.02414303	0.0004265002	0.01493646
F75	2CM-045	0.1453408	-0.1783627	0.05975858	0.0377377	0.004048933	0.03779178	0.007268241	0.001416296	0.001870532	-0.01781596
F76	2CM-047	0.03669998	0.08002662	0.02458009	-0.02413078	-0.01944379	0.04521304	0.01360991	0.03571786	-0.008705785	0.005485047
F77	2CM-048	0.1050023	-0.09089729	0.04832339	0.02608431	-0.008981429	0.06515394	0.001848357	0.01571862	0.0009412812	-0.01938381
F78	2CM-049	0.1125107	-0.123928	0.06814282	0.0029237	0.0114703	0.0155654	-0.002114615	0.01318012	0.01930881	-0.003015327
F79	2CM-051	0.1190318	-0.1153848	0.05024034	0.01989241	-0.007529488	0.04105903	-0.01225948	0.01113447	-0.001798639	0.0009389345
F80	2CM-054	0.1205677	-0.1130797	0.06045469	0.02441757	-0.005994066	0.04622497	0.0003865173	0.01887928	-0.001546299	-0.009927509
F81	2CM-055	0.1606818	-0.2115273	0.06216739	0.03799842	0.004724476	0.06677239	0.008342982	0.01372114	0.01601988	-0.024568
F82	2CM-058	0.1032073	-0.1251136	0.05439465	0.02270328	0.005673093	0.04646034	0.003842364	0.023618	-0.0007078424	0.003514333
F83	2CM-059	0.1102854	-0.0831205	0.05708223	0.02516179	-0.01763537	0.04583842	0.008106808	0.0203919	0.007750927	-0.008347108
F84	2CM-060	0.1086096	-0.1000449	0.04869541	0.02627707	0.001960929	0.05431602	0.008505051	0.01636097	-0.0005617154	-0.008560609
F85	2CM-064	0.1436445	-0.1853842	0.08029694	0.04021719	0.009946706	0.05126427	0.01956986	0.009656204	0.0121047	-0.02091773
F86	2CM-065	0.03731682	0.1107843	0.003853298	-0.01171145	-0.01126073	0.05361385	0.007091104	0.02154676	-0.0199842	0.00396741
F87	2CM-067	0.08519634	-0.06610379	0.04561006	0.009635013	0.002861184	0.04700737	0.004127321	0.01764889	0.0004575909	-0.01745917
F88	2CM-068	0.05498912	0.02510268	0.02103986	-0.00137415	-0.01299472	0.04206703	0.004744746	0.02313072	3.943761e-06	-0.01156761
F89	2CM-069	0.09614095	-0.05445828	0.03273403	0.004937645	-0.02217103	0.03708465	0.01696546	0.01570567	-0.01578397	0.001523603
F90	2CM-071	0.133988	-0.1780938	0.06496364	0.0312177	0.01750849	0.06285859	-0.00411816	0.0124623	-0.01737147	-0.02160492
F91	2CM-072	0.08298499	-0.05092625	0.04738755	-0.001454157	-0.003692782	0.05990116	0.005598872	0.01314885	-0.005621757	-0.00861878
F92	2CM-074	0.1027426	-0.05896109	0.05018917	0.00575643	0.002027253	0.04852669	-0.00972574	0.0182551	-0.0001368332	-0.007178543
F93	2CM-075	0.1601992	-0.1868123	0.07741282	0.02087246	-0.007674537	0.05862501	0.0007741946	0.009017744	0.01343987	-0.02503146
F94	2CM-076	0.1410906	-0.1514753	0.06321595	0.02191996	-0.01003417	0.06094764	0.004436245	0.003578121	0.01406734	0.00691145
F95	2CM-077	0.1041108	-0.07173726	0.04346909	0.003397825	-0.007162111	0.0462345	0.01875171	0.009855036	0.0033888	-0.004916737
F96	2CM-078	0.02821112	0.11598	0.021104	-0.02697931	-0.03774628	0.05989728	-0.0001437643	0.02863195	-0.01083851	-0.01480361
F97	2CM-079	0.05866025	0.003676177	0.03838887	0.003111748	-0.003139344	0.04748571	-0.007501703	0.0243246	-0.01002776	0.0115553
F98	2CM-082	0.1941656	-0.2855352	0.08496251	0.06340942	0.006817558	0.04631954	0.0004130118	-0.007383888	-0.007897356	-0.04434429
F99	2CM-083	0.1143073	-0.1310295	0.05079126	0.02002506	0.007815189	0.05839528	0.004825003	0.01368403	-0.01080716	0.02497942
F100	2CM-084	0.1335214	-0.1328765	0.06025211	0.02636767	0.003527837	0.05869617	-0.003946041	0.02096333	0.0214399	-0.009894117
F101	2CM-085	0.1633854	-0.216249	0.06968859	0.04063888	0.004550954	0.05297991	0.0005761115	-0.002261891	0.010211	-0.0180181
F102	2CM-086	0.102593	-0.0556515	0.03933095	0.008732039	-0.006289904	0.04496092	-0.01055561	0.01521622	-0.002734434	-0.01625454
F103	2CM-087	0.121759	-0.150316	0.06433386	0.02691963	0.007237781	0.05487609	-0.001202826	0.004917866	0.01709917	-0.01865285
F104	2CM-088	0.1247405	-0.139558	0.06456111	0.02209998	0.00375847	0.04890107	0.00279436	0.01776512	0.003797717	-0.01536259
F105	2CM-089	0.07743532	-0.004319426	0.03164464	-0.000107106	-0.01408258	0.04221118	0.003326099	0.02567759	-0.004040743	0.001519141
F106	2CM-090	0.09131284	-0.05581859	0.03479025	-0.005905901	-0.02170817	0.0478034	-0.001414015	0.01636105	0.01282993	-0.006247437
F107	2CM-091	0.04888069	0.04068249	0.02463668	-0.003671723	-0.01230109	0.04810009	-0.00702466	0.01515681	-0.004412419	0.008244959
F108	2CM-092	0.06567691	-0.09388235	0.03915112	0.01384517	0.0274413	0.04358194	-0.002857954	0.01158529	0.00804897	-0.02984249
F109	2CM-093	0.1033086	-0.0724241	0.06354185	0.01559688	-0.01173671	0.03879835	0.01536803	0.003374181	-8.103833e-05	-0.003388378
F110	2CM-094	0.1706033	-0.2554249	0.07874807	0.03552114	0.006219909	0.05880009	-0.01384647	-0.002014529	0.02254702	-0.002730966
F111	2CM-095	0.1288738	-0.1559504	0.0540094	0.03632997	0.002805027	0.05279509	-0.004828705	0.01230133	0.005087826	-0.007253904
F112	2CM-096	0.2098382	-0.2787131	0.09090199	0.03508687	0.01372593	0.0520014	-0.01271998	-0.007570071	-0.005033087	-0.008624103
F113	2CM-097	0.0439357	0.06125582	0.02379791	-0.006013526	-0.02782822	0.04849891	-0.008281698	0.02036138	0.005155894	0.01451454
F114	2CM-099	0.05004016	-0.08301897	0.03755612	0.01704475	0.02303368	0.04498956	0.00321169	0.02224628	-0.0006213314	-0.01086015
F115	2CM-100	-0.01210983	0.102421	0.007020949	-0.004491376	-0.003699046	0.04147657	-0.005788137	0.0516254	-0.01869188	0.00885607
F116	2CM-101	0.01535582	0.05059377	0.02448786	-0.01063914	-0.002711338	0.04633003	0.009314383	0.03183889	-0.008391686	0.01170496
F117	2CM-102	0.0900314	-0.07372608	0.03919865	0.009179988	-0.004206888	0.01014423	-0.003377419	-0.01381865	-0.01561642	-0.005499423
F118	2CM-103	0.1257654	-0.1315378	0.0465458	0.01781505	-0.001364505	0.06027009	0.0002511894	0.02562416	-0.004855896	0.0009467096
F119	2CM-104	0.04496494	0.06166323	0.01612128	-0.03108941	-0.006519696	0.04840613	0.00151386	0.02061774	-0.005673334	0.001815826
F120	2CM-108	0.0849653	-0.05032941	0.04735356	-0.001933715	-0.01167651	0.05513981	-0.002447311	0.03098751	-0.003268094	-0.0005133383
F121	2CM-109	0.0930729	-0.0498592	0.04103597	0.008674518	-0.01417724	0.04712535	0.008389333	0.01956789	0.009624499	-0.02107408
F122	2CM-110	0.09925292	-0.06150936	0.04810857	0.008621277	-0.007705038	0.03558934	0.01498729	0.03093173	-0.007392424	-0.01253835
F123	2CM-111	0.02138526	0.09052006	0.02337842	-0.007241087	0.003959037	0.01767112	-0.004295629	0.02628641	-0.007500106	0.01959465
F124	2CM-112	0.1941219	-0.2827085	0.08633981	0.03688946	0.005581106	0.03622845	-0.009814173	-0.00923962	0.008645708	-0.01668679
F125	2CM-113	0.1571885	-0.1955257	0.07086547	0.0239384	-0.004311593	0.05625859	-0.002689373	0.003746733	0.007236434	-0.01203097
F126	2CM-114	0.1203578	-0.1322655	0.05600399	0.02113849	-0.0002011571	0.007782735	-0.000354338	-0.009417927	-0.01239914	-0.02094536
F127	2CM-115	0.09250929	-0.07402292	0.04716287	0.01615233	0.006960373	0.04195799	0.002782381	0.0238744	-0.01273053	-0.01193648
F128	2CM-118	0.1172519	-0.1379424	0.06090785	0.01441407	-0.01028659	0.04019624	0.01285861	0.01829898	0.001659999	-0.005126318
F129	2CM-119	0.09948715	-0.08136675	0.03810862	0.01927707	0.002306411	0.04970099	-0.003760481	0.02430265	-0.0008617459	0.0002207162
F130	2CM-120	0.0873627	0.003043126	0.04024365	-0.003372578	-0.01568412	0.04958787	-0.007935682	0.03023722	0.005849789	-0.001515751
F131	2CM-121	0.07929445	0.002883709	0.0396852	-0.002626156	-0.005254705	0.05389732	-0.002859329	0.0340113	-0.006695087	-0.009088059
F132	2CM-122	0.05999385	0.05334589	0.02718836	-0.0075938	-0.01850629	0.04062163	0.004261452	0.02658441	0.003709092	0.007924953
F133	2CM-124	0.1269932	-0.0920124	0.054634	0.008138238	0.01240226	0.05801089	-0.002716975	0.005911388	0.005847157	-0.009408558
F134	2CM-125	0.06458073	-0.02203034	0.04822884	-0.009206206	-0.003399868	0.0533732	0.009430064	0.02990755	0.003857509	-0.00659534
F135	2CM-126	0.04852237	0.01255887	0.02093795	-0.01557969	-0.0002112138	0.03860611	0.003713927	0.01124522	-0.0006940741	0.002798231
F136	2CM-127	0.1952834	-0.2641013	0.06590802	0.02500265	0.008548531	0.04663371	0.01101027	-0.003387462	0.00992469	-0.01163065
F137	2CM-130	0.1442686	-0.1643662	0.06193658	0.01737466	0.002823909	0.05402562	-0.01269863	-0.001000411	0.01348915	0.01225255
F138	2CM-131	0.09419463	-0.03024781	0.05169613	0.0009574434	-0.01105209	0.04825763	0.0004013108	0.018108	-0.001564267	-0.01029375
F139	2CM-132	0.1000666	-0.09117694	0.04584459	0.01675869	0.003522051	0.03952442	0.00637755	0.02114366	-0.005823732	-0.01151342
F140	2CM-133	0.1210853	-0.1453469	0.05938976	0.02736913	0.008529859	0.05440261	0.0108732	0.01357274	0.002823303	-0.007544745
F141	2CM-134	0.1353536	-0.1541867	0.06040849	0.0205646	0.01204144	0.04877185	0.008610683	-0.002397017	0.003882845	-0.004512182
F142	2CM-135	0.1096708	-0.1306943	0.06949808	0.01080139	0.006270832	0.03111066	0.00732992	0.005955162	0.02894441	-0.003478088
F143	2CM-136	0.04739167	0.0554874	0.03917935	-0.000562784	-0.004151051	0.05462207	0.01562294	0.0209391	0.008130727	-0.001907808
F144	2CM-137	0.09251377	-0.08597382	0.04653954	0.02018936	0.001691787	0.05685712	0.01691282	0.008443902	0.01215404	0.00541149
F145	2CM-138	0.1021727	-0.0733706	0.03896078	0.006939903	-0.005485747	0.03594305	0.01002035	0.01183944	0.004877058	-0.002603079
F146	2CM-139	0.06467288	0.01055126	0.04195491	-0.005880549	-0.01102367	0.05642088	0.01047724	0.02560603	0.001376477	-0.02175279
F147	2CM-140	0.0999438	-0.08935126	0.05198454	0.01685608	-0.0001452347	0.05123163	-0.007239959	0.01973828	0.004043843	-0.01547652
F148	2CM-141	0.04764155	-0.0853712	0.05080972	0.02354904	0.01313938	0.03462542	0.004198757	0.007885338	0.02184348	-0.01445372
F149	2CM-142	0.05928577	0.009093602	0.03876846	0.009562983	-0.0002493209	0.05257608	-0.006432216	0.01529022	-0.00140738	0.001194977
F150	2CM-143	0.05481887	0.0144158	0.03506535	0.007691547	-0.001584951	0.05024377	-0.005442593	0.01355585	-0.01401639	0.007678503
F151	2CM-144	0.05009375	0.06181185	0.01020271	-0.01690214	-0.01132257	0.04193581	0.001232038	0.02741982	-0.01776703	0.006294495
F152	2CM-146	0.1029161	-0.07405428	0.05487446	0.007298877	-0.0103611	0.05105198	-0.007268766	0.02000527	-5.113773e-05	-0.0166835
F153	2CM-147	0.0630686	0.04857619	0.0387298	-0.02957445	-0.01929563	0.05299332	0.01066397	0.01388635	-0.01518154	0.003394845
F154	2CM-148	0.04129627	0.1140227	0.01436167	-0.02010026	-0.01424425	0.0445547	0.00319152	0.02620888	-0.01409055	0.01125488
F155	2CM-150	0.06932343	-0.09226636	0.05353802	0.0165242	0.0162477	0.003280075	-0.005820652	-0.01488772	0.003609424	-0.01817556
F156	2CM-151	0.1501911	-0.1425562	0.06381503	0.01237837	-0.005636147	0.06507447	0.003968238	0.01516047	0.01924211	0.003177502
F157	2CM-152	0.1313047	-0.1387559	0.0644374	0.01958862	-0.007422401	0.05319536	0.006143798	0.007297585	-0.001982315	-0.005300717
F158	2CM-153	0.08284514	-0.009942923	0.04905293	-0.01396472	-0.005249873	0.03485325	-0.001235058	0.01397438	0.0002004112	-0.008535132
F159	2CM-157	0.09634616	-0.0876725	0.05373192	0.0250979	-0.003783992	0.05914643	-0.008680078	0.01701549	0.01276464	0.003528929
F160	2CM-158	0.1185074	-0.1099078	0.07039466	0.01630232	-0.004048922	0.05793608	0.0123132	0.02834819	0.00756883	-0.01316217
F161	2CM-159	0.07918179	-0.05706209	0.04171075	0.01225189	-0.004783979	0.04139574	0.009487187	0.01603496	0.002953617	-0.02069078
F162	2CM-160	0.1824412	-0.2461322	0.08389513	0.02649259	0.009777156	0.06058562	0.002868943	0.000162156	0.01155197	-0.003345612
F163	2CM-161	0.02511227	0.04445502	0.02119131	-0.02383861	-0.01139408	0.02679117	0.00510268	0.02787985	0.01419936	0.01701879
F164	2CM-163	0.05471605	0.02369434	0.01645831	-0.008799593	-0.004345946	0.04380434	-0.002257507	0.02055843	-0.003221765	0.00812213
F165	2CM-164	0.1123609	-0.09330578	0.05047811	0.01340961	0.007407749	0.05091738	-0.0004426745	0.02332419	0.004667448	-0.02731583
F166	2CM-166	0.1868809	-0.2638102	0.083349	0.04022847	0.01360158	0.07324599	0.006907407	-0.007720395	0.01437255	-0.008358959
F167	2CM-167	0.04483654	-0.003902885	0.01988771	0.008573177	0.01159322	0.05143074	0.00603007	0.01778722	0.002260633	0.009854429
F168	2CM-168	0.07616045	0.0023715	0.03186662	0.0007309938	-0.01001345	0.02991326	-0.005549066	0.0182502	-0.005660849	-0.001791797
F169	2CM-173	0.1302588	-0.1630587	0.05241891	0.01663666	0.006895829	0.06058804	0.001404015	0.0155326	0.01632988	-0.01835523
F170	2CM-174	0.1790084	-0.2375904	0.0732696	0.03695299	-0.002136139	0.07646761	0.003784815	0.01286432	0.002110844	-0.03828677
F171	2CM-175	0.1038239	-0.1185348	0.06101856	0.02392778	0.0002486171	0.05590044	0.007556762	0.01766616	0.004670825	-0.01143728
F172	2CM-176	0.1058641	-0.08859218	0.05841962	0.01927233	-0.01328179	0.04304586	-1.174835e-05	0.02134468	0.001612021	-0.006541025
F173	2CM-180	0.09272961	-0.06846231	0.04740666	0.01398528	0.002007764	0.05152753	-0.005547889	0.02423409	0.01441005	0.01006925
F174	2CM-181	0.0612111	0.04104171	0.0329722	-0.01598326	-0.01798613	0.01419367	0.01078184	0.008050182	-0.02695012	0.0009330698
F175	2CM-184	0.05682932	0.1035414	0.03610165	-0.02717882	-0.0284273	0.03076604	-0.000258519	0.01807314	-0.008863324	-0.02627119
F176	2CM-186	0.113953	-0.09528832	0.05126032	0.009700113	0.002451138	0.05788616	0.0075777	0.009275968	-0.02215032	-0.008854413
F177	2CM-189	0.09055895	-0.0598759	0.04308097	0.01300742	0.008706889	0.05213045	-0.005151203	0.02393658	0.005440087	0.002564444
F178	2CM-190	0.07269681	-0.01263644	0.0491129	-0.006409628	0.008757487	0.04533776	0.003154695	0.0186682	0.01647544	-0.007772675
F179	2CM-192	0.1801192	-0.2318464	0.08733163	0.03528869	0.009576623	0.03033872	0.004512011	-0.004520921	0.006734021	-0.009734712
F180	2CM-194	0.07847151	-0.01460929	0.03865352	-0.002067767	-0.007573778	0.04673839	-0.002734819	0.02940661	-0.01356562	-0.006784732
F181	2CM-195	0.1446681	-0.1698192	0.06932526	0.03188052	-0.004210306	0.06357855	-0.001280251	0.01516646	0.007771893	-0.006283803
F182	2CM-196	-0.04042287	0.2321468	-0.01209576	-0.01031149	-0.03424942	0.03430218	0.001463016	0.0745894	-0.01239975	0.01538387
F183	2CM-197	0.1180237	-0.07825463	0.05811264	0.01639635	-0.00471488	0.03881934	-0.003184227	0.02690763	0.01082699	-0.002724778
F184	2CM-198	0.1193601	-0.175403	0.06127324	0.03025374	0.01794745	0.05562345	-0.005176657	0.009747667	0.01561904	-0.01125395
F185	2CM-199	0.1131344	-0.1118666	0.05692012	0.01823298	0.01264116	0.0452735	-0.0008396843	0.009427441	0.001354024	-0.02089297
F186	3-CG-217-N	0.06454638	-0.02607666	0.04619468	0.001865816	-0.009366202	0.05124004	0.005542548	0.0174664	0.002425084	-0.001857538
F187	3-CG-218-N	0.1157314	-0.1135494	0.04791663	0.01655933	0.002361704	0.04517462	0.01093703	0.01718965	0.001621942	-0.01142995
F188	3-CG-222-N	0.05205981	0.04906524	0.02657074	-0.01639456	-0.01383832	0.04335768	0.002582897	0.03803258	-0.008552851	0.003687232
F189	3-CG-223-N	0.1263304	-0.1052744	0.05473621	0.006200117	0.008092613	0.04158573	0.00241603	-0.003290607	-0.01568724	-0.001824439
F190	3-CG-226-N	0.07685168	-0.01195201	0.04088474	-0.003501555	-0.01467272	0.04954575	-0.002707306	0.02207336	-0.01148799	-0.01773793
F191	3-CG-231-N	0.09739	-0.06133268	0.05018864	0.01254071	-0.002849848	0.04190883	0.003533983	0.006051358	0.01157176	-0.01615709
