FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
F1	0-354	-0.01400201	0.03754277	0.03040283	-0.01411433	0.02157759	-0.0249044	-0.0005782667	0.01468443	0.006281548	0.001668426
F2	08782-11840	-0.01024397	0.2567462	-0.006545517	-0.05079493	-0.03725279	0.04628257	-0.009706624	0.04477701	-0.0180325	0.001952228
F3	1CG-002	0.1206563	-0.1890446	0.07172539	0.04006882	0.0148666	0.005054396	-0.0224702	-0.01792528	-0.01845014	-0.03644768
F4	1CG-004	0.06990287	-0.04074502	0.03814374	0.004859988	0.00369033	0.03944118	0.006905247	0.0186617	-0.004182349	0.003078428
F5	1CG-005	0.1842859	-0.2724669	0.0744437	0.05708585	-0.005712975	0.05025161	-0.002862005	0.00429114	0.009826409	-0.04155531
F6	1CG-006	0.09938491	-0.03074083	0.03978238	0.003802243	-0.01741753	0.04316187	-0.001916408	0.01547928	0.001329356	-0.005119666
F7	1CG-007	0.1771658	-0.24085	0.0737052	0.0335032	0.001392185	0.05068014	-0.005087616	-0.003103343	0.01254776	0.004105323
F8	1CG-008	0.1138884	-0.08748725	0.05207223	0.004636928	0.0008667902	0.06981351	0.005163869	0.01800746	0.003593971	-0.02033148
F9	1CG-009	0.1088444	-0.05649114	0.0309944	0.01895717	-0.005029501	0.0601826	-0.00714468	0.02271268	-0.004131064	-0.01779219
F10	1CG-010	0.1198586	-0.1364033	0.0600344	0.0240412	0.0119565	0.06562479	-0.007579557	0.02802961	0.005862052	-0.01902481
F11	1CG-012	0.04823108	0.03738757	0.02146417	-0.009045555	-0.01187808	0.03734971	-0.001076129	0.03577066	-0.01866461	0.008828629
F12	1CG-013	0.09656805	-0.06164199	0.05683294	0.007366821	-0.005738369	0.0575792	0.00407017	0.02213088	-0.02999798	-0.009881177
F13	1CG-014	0.1242825	-0.1073976	0.06022108	0.02624532	-0.002188168	0.05347311	-0.004305405	0.02124422	0.009875105	-0.00133337
